Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
2238,2238,0,0078,1,0,1,0,0,00000070
2239,2239,0,007c,1,0,1,0,0,00000074
2240,2240,0,0080,1,0,1,0,0,00000078
2241,2241,0,0084,1,0,1,0,0,0000007c
2242,2242,0,0088,1,0,1,0,0,00000080
2243,2243,0,008c,1,0,1,0,0,00000084
2244,2244,0,0090,1,0,1,0,0,00000088
2245,2245,0,0090,1,0,1,0,0,00000088
2246,2246,0,0090,1,0,1,0,0,00000088
2247,2247,0,0094,1,0,1,0,0,0000008c
2248,2248,0,0094,1,0,1,0,0,0000008c
2249,2249,0,0098,1,0,1,0,0,00000090
2250,2250,0,009c,1,0,1,0,0,00000094
2251,2251,0,00a0,1,0,1,0,0,00000098
2252,2252,0,00a4,1,0,1,0,0,0000009c
2253,2253,0,00a8,1,0,1,0,0,000000a0
2254,2254,0,00ac,1,0,1,0,0,000000a4
2255,2255,0,00ac,1,0,1,0,0,000000a4
2256,2256,0,00ac,1,0,1,0,0,000000a4
2257,2257,0,00b0,1,0,1,0,0,000000a8
2258,2258,0,00b4,1,0,1,0,0,000000ac
2259,2259,0,0054,1,0,1,0,0,000000ac
2260,2260,0,0058,1,0,1,0,0,00000000
2261,2261,0,005c,1,0,1,0,0,00000054
2262,2262,0,0068,1,0,1,0,0,00000054
2263,2263,0,006c,1,0,1,0,0,00000000
2264,2264,0,0070,1,0,1,0,0,00000068
2265,2265,0,0070,1,0,1,0,0,00000068
2266,2266,0,0070,1,0,1,0,0,00000068
2267,2267,0,0074,1,0,1,0,0,0000006c
2268,2268,0,0078,1,0,1,0,0,00000070
2269,2269,0,007c,1,0,1,0,0,00000074
2270,2270,0,0080,1,0,1,0,0,00000078
2271,2271,0,0084,1,0,1,0,0,0000007c
2272,2272,0,0088,1,0,1,0,0,00000080
2273,2273,0,008c,1,0,1,0,0,00000084
2274,2274,0,0090,1,0,1,0,0,00000088
2275,2275,0,0090,1,0,1,0,0,00000088
2276,2276,0,0090,1,0,1,0,0,00000088
2277,2277,0,0094,1,0,1,0,0,0000008c
